iter	Passed	Remaining
943	18922	21167
944	18939	21144
945	18956	21121
946	18973	21097
947	18990	21073
948	19008	21051
949	19026	21029
950	19045	21008
951	19062	20984
952	19080	20962
953	19098	20940
954	19115	20917
955	19134	20895
956	19151	20872
957	19172	20853
958	19189	20830
959	19207	20808
960	19224	20784
961	19242	20762
962	19259	20739
963	19280	20720
964	19300	20700
965	19322	20682
966	19341	20661
967	19359	20639
968	19377	20617
969	19394	20594
970	19411	20570
971	19428	20547
972	19447	20527
973	19468	20508
974	19486	20486
975	19505	20464
976	19525	20444
977	19542	20421
978	19560	20399
979	19579	20378
980	19596	20355
981	19615	20334
982	19631	20310
983	19650	20289
984	19668	20267
985	19685	20244
986	19703	20222
987	19722	20201
988	19739	20179
989	19757	20157
990	19776	20135
991	19795	20114
992	19813	20092
993	19830	20070
994	19848	20048
995	19866	20026
996	19884	20004
997	19903	19982
998	19919	19959
999	19941	19941
1000	19961	19921
1001	19981	19901
1002	20004	19884
1003	20024	19864
1004	20041	19842
1005	20059	19820
1006	20079	19800
1007	20097	19778
1008	20116	19758
1009	20135	19737
1010	20159	19720
1011	20181	19702
1012	20202	19684
1013	20220	19662
1014	20238	19640
1015	20263	19624
1016	20280	19602
1017	20299	19581
1018	20319	19561
1019	20345	19547
1020	20363	19525
1021	20380	19503
1022	20397	19480
1023	20415	19458
1024	20432	19435
1025	20452	19416
1026	20470	19393
1027	20487	19371
1028	20506	19350
1029	20526	19330
1030	20543	19308
1031	20562	19286
1032	20580	19265
1033	20599	19244
1034	20617	19222
1035	20637	19203
1036	20660	19186
1037	20677	19163
1038	20695	19141
1039	20712	19119
1040	20731	19098
1041	20750	19077
1042	20766	19054
1043	20783	19031
1044	20800	19008
1045	20821	18989
1046	20838	18967
1047	20856	18946
1048	20874	18924
1049	20891	18901
1050	20908	18879
1051	20926	18857
1052	20943	18835
1053	20961	18813
1054	20982	18794
1055	21000	18773
1056	21017	18751
1057	21035	18728
1058	21053	18707
1059	21072	18686
1060	21090	18665
1061	21111	18646
1062	21128	18624
1063	21146	18602
1064	21168	18584
1065	21192	18568
1066	21209	18546
1067	21227	18524
1068	21249	18506
1069	21268	18486
1070	21287	18464
1071	21304	18442
1072	21326	18424
1073	21343	18402
1074	21361	18381
1075	21386	18365
1076	21404	18343
1077	21422	18322
1078	21441	18302
1079	21459	18280
1080	21477	18258
1081	21495	18237
1082	21514	18216
1083	21531	18194
1084	21548	18172
1085	21564	18149
1086	21582	18127
1087	21599	18105
1088	21619	18085
1089	21636	18063
1090	21660	18047
1091	21676	18024
1092	21693	18001
1093	21709	17978
1094	21725	17955
1095	21743	17934
1096	21760	17912
1097	21778	17891
1098	21795	17868
1099	21816	17850
1100	21834	17828
1101	21851	17806
1102	21869	17784
1103	21886	17763
1104	21907	17743
1105	21923	17720
1106	21940	17699
1107	21958	17677
1108	21975	17655
1109	21992	17633
1110	22010	17612
1111	22029	17592
1112	22047	17570
1113	22065	17549
1114	22084	17529
1115	22104	17509
1116	22123	17488
1117	22141	17467
1118	22159	17446
1119	22176	17424
1120	22193	17402
1121	22213	17382
1122	22230	17360
1123	22248	17339
1124	22265	17317
1125	22283	17296
1126	22300	17274
1127	22318	17253
1128	22336	17232
1129	22354	17211
1130	22371	17189
1131	22389	17167
1132	22406	17145
1133	22425	17125
1134	22443	17104
1135	22461	17083
1136	22481	17063
1137	22498	17041
1138	22516	17020
1139	22533	16998
1140	22551	16977
1141	22572	16958
1142	22589	16937
1143	22605	16914
1144	22623	16893
1145	22644	16874
1146	22661	16852
1147	22679	16831
1148	22697	16810
1149	22716	16790
1150	22733	16768
1151	22751	16747
1152	22769	16726
1153	22787	16705
1154	22804	16683
1155	22822	16662
1156	22839	16641
1157	22857	16619
1158	22874	16598
1159	22892	16577
1160	22912	16557
1161	22931	16537
1162	22948	16515
1163	22967	16495
1164	22984	16474
1165	23003	16453
1166	23020	16432
1167	23041	16413
1168	23057	16391
1169	23074	16369
1170	23092	16348
1171	23111	16328
1172	23129	16307
1173	23148	16286
1174	23166	16265
1175	23183	16244
1176	23201	16223
1177	23218	16201
1178	23235	16180
1179	23256	16161
1180	23278	16143
1181	23296	16122
1182	23313	16100
1183	23330	16079
1184	23349	16059
1185	23367	16038
1186	23385	16017
1187	23405	15997
1188	23421	15975
1189	23439	15954
1190	23456	15933
1191	23473	15911
1192	23490	15890
1193	23509	15869
1194	23527	15848
1195	23543	15827
1196	23560	15805
1197	23577	15784
